LectureID;DateKey;FromTimeKey;UntilTimeKey;ClassKey;SubgroupKey;RoomKey;ActivityKey;UserCount;TotalStudents;FullDate;NameDayDutch;NameMonthDutch;Weekday;Month;Year;DayOfYear;NumberSemester;Season;StartHour;StartMinutes;StartSeconds;StartTime;StartAMPM;EndHour;EndMinutes;EndSeconds;EndTime;EndAMPM;CanonicalActivity;ActivityDomain;ActivityGroup;SourceColumn;SourceValue;IsCourse;IsExam;IsAcademicEvent;IsGuestLecture;IsMakeUp;IsPractical;IsPresentation;IsDigitalPossible;ClassName;ClassCode;ClassCredits;ClassSecondChance;ClassProgramStage;SubgroupCode;ProgramName;Building;RoomFloor;RoomCode;RoomName;RoomCategory;Capacity;Area;Stakingsdag
450537;20260302;133000;153000;5356;5754569;1580;2;NULL;56;2026-03-02;Monday;March;2;3;2026;61;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Financiële en bedrijfskundige administratie II;194782;5;1;1;PBA-BM-KM/1B;PBA-BM-KM;2;2;01.02.120.005;GSCHB.2.005;leslokaal;76;94.26;0
450368;20260511;133000;153000;5865;6036394;2295;2;NULL;2;2026-05-11;Monday;May;2;5;2026;131;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Business Software II;195238;4;1;2;PBA-BM-SCM/VT/MKMLRE/;PBA-BM-SCM;2;1;01.02.110.037;GSCHB.1.037;laptoplokaal;32;68.50;0
450369;20260518;133000;153000;5865;6036305;2295;2;NULL;19;2026-05-18;Monday;May;2;5;2026;138;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Business Software II;195238;4;1;2;PBA-BM-SCM/2A;PBA-BM-SCM;2;1;01.02.110.037;GSCHB.1.037;laptoplokaal;32;68.50;0
450369;20260518;133000;153000;5865;6036372;2295;2;NULL;1;2026-05-18;Monday;May;2;5;2026;138;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Business Software II;195238;4;1;2;PBA-BM-SCM/VT/KM;PBA-BM-SCM;2;1;01.02.110.037;GSCHB.1.037;laptoplokaal;32;68.50;0
450369;20260518;133000;153000;5865;6036394;2295;2;NULL;2;2026-05-18;Monday;May;2;5;2026;138;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Business Software II;195238;4;1;2;PBA-BM-SCM/VT/MKMLRE/;PBA-BM-SCM;2;1;01.02.110.037;GSCHB.1.037;laptoplokaal;32;68.50;0
448386;20260424;133000;153000;3852;5777010;1122;2;NULL;25;2026-04-24;Friday;April;6;4;2026;114;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1A;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
448386;20260424;133000;153000;3852;5777345;1122;2;NULL;25;2026-04-24;Friday;April;6;4;2026;114;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1C;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
448386;20260424;133000;153000;3852;5893269;1122;2;NULL;16;2026-04-24;Friday;April;6;4;2026;114;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1B2;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
448386;20260424;133000;153000;3852;5900004;1122;2;NULL;17;2026-04-24;Friday;April;6;4;2026;114;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/1B1;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
448386;20260424;133000;153000;3852;6140699;1122;2;NULL;3;2026-04-24;Friday;April;6;4;2026;114;1;Spring;13;30;0;13:30:00;PM;15;30;0;15:30:00;PM;Activerend hoorcollege;Course;Lecture;WorkFormCourse;Activerend hoorcollege;1;0;0;0;0;0;0;0;Duurzame ruimtelijke ontwikkeling;193283;4;1;1;PBA-VG-LAM/VT/BKT/1;PBA-VG-LAM;2;3;01.02.130.019;GSCHB.3.019;auditorium;101;118.11;0
